'2013-09-09 19:38:08;42;24;45
'2013-09-09 19:38:18;42;24;49
'2013-09-09 19:38:40;42;24;49
'2013-09-09 19:38:50;41;23;45
'2013-09-09 19:40:38;43;24;49
'2013-09-09 19:40:48;41;23;46
'2013-09-09 19:40:58;42;24;47
'2013-09-09 19:41:08;42;23;46
'2013-09-09 19:41:18;42;24;46
'2013-09-09 19:41:30;42;24;45
'2013-09-09 19:41:48;42;24;49
'2013-09-09 19:41:58;41;23;49
'2013-09-09 19:42:08;42;24;50
'2013-09-09 19:43:37;44;24;39
'2013-09-09 19:43:47;42;23;42
'2013-09-09 19:43:57;43;24;45
'2013-09-09 19:44:07;42;24;43
'2013-09-09 19:44:17;42;24;42
'2013-09-09 19:44:27;42;23;43
'2013-09-09 19:44:37;42;23;42
'2013-09-09 19:44:47;42;24;41
'2013-09-09 19:44:57;43;24;43
'2013-09-09 19:45:07;43;24;43
'2013-09-09 19:45:17;42;24;46
'2013-09-09 19:45:27;42;23;45
'2013-09-09 19:45:37;42;23;43
'2013-09-09 19:45:47;42;23;43
'2013-09-09 19:45:57;42;23;42
'2013-09-09 19:46:07;42;23;42
'2013-09-09 19:46:17;41;23;43
'2013-09-09 19:46:27;42;23;39
'2013-09-09 19:46:37;42;24;40
'2013-09-09 19:46:47;42;23;39
'2013-09-09 19:46:57;42;23;40
'2013-09-09 19:47:07;42;23;38
'2013-09-09 19:47:22;42;24;41
'2013-09-09 19:47:32;42;23;39
'2013-09-09 19:47:42;42;23;37
'2013-09-09 19:47:52;42;23;38
'2013-09-09 19:48:02;42;23;36
'2013-09-09 19:48:12;42;23;37
'2013-09-09 19:48:22;42;23;37
'2013-09-09 19:48:32;42;23;37
'2013-09-09 19:48:42;42;23;36
'2013-09-09 19:48:52;42;23;37
'2013-09-09 19:49:02;42;23;40
'2013-09-09 19:49:12;41;23;42
'2013-09-09 22:24:16;41;23;34
finish'2013-09-09 19:38:08;42;24;45
'2013-09-09 19:38:18;42;24;49
'2013-09-09 19:38:40;42;24;49
'2013-09-09 19:38:50;41;23;45
'2013-09-09 19:40:38;43;24;49
'2013-09-09 19:40:48;41;23;46
'2013-09-09 19:40:58;42;24;47
'2013-09-09 19:41:08;42;23;46
'2013-09-09 19:41:18;42;24;46
'2013-09-09 19:41:30;42;24;45
'2013-09-09 19:41:48;42;24;49
'2013-09-09 19:41:58;41;23;49
'2013-09-09 19:42:08;42;24;50
'2013-09-09 19:43:37;44;24;39
'2013-09-09 19:43:47;42;23;42
'2013-09-09 19:43:57;43;24;45
'2013-09-09 19:44:07;42;24;43
'2013-09-09 19:44:17;42;24;42
'2013-09-09 19:44:27;42;23;43
'2013-09-09 19:44:37;42;23;42
'2013-09-09 19:44:47;42;24;41
'2013-09-09 19:44:57;43;24;43
'2013-09-09 19:45:07;43;24;43
'2013-09-09 19:45:17;42;24;46
'2013-09-09 19:45:27;42;23;45
'2013-09-09 19:45:37;42;23;43
'2013-09-09 19:45:47;42;23;43
'2013-09-09 19:45:57;42;23;42
'2013-09-09 19:46:07;42;23;42
'2013-09-09 19:46:17;41;23;43
'2013-09-09 19:46:27;42;23;39
'2013-09-09 19:46:37;42;24;40
'2013-09-09 19:46:47;42;23;39
'2013-09-09 19:46:57;42;23;40
'2013-09-09 19:47:07;42;23;38
'2013-09-09 19:47:22;42;24;41
'2013-09-09 19:47:32;42;23;39
'2013-09-09 19:47:42;42;23;37
'2013-09-09 19:47:52;42;23;38
'2013-09-09 19:48:02;42;23;36
'2013-09-09 19:48:12;42;23;37
'2013-09-09 19:48:22;42;23;37
'2013-09-09 19:48:32;42;23;37
'2013-09-09 19:48:42;42;23;36
'2013-09-09 19:48:52;42;23;37
'2013-09-09 19:49:02;42;23;40
'2013-09-09 19:49:12;41;23;42
'2013-09-09 22:24:16;41;23;34
'2013-09-09 19:38:08;42;24;45
'2013-09-09 19:38:18;42;24;49
'2013-09-09 19:38:40;42;24;49
'2013-09-09 19:38:50;41;23;45
'2013-09-09 19:40:38;43;24;49
'2013-09-09 19:40:48;41;23;46
'2013-09-09 19:40:58;42;24;47
'2013-09-09 19:41:08;42;23;46
'2013-09-09 19:41:18;42;24;46
'2013-09-09 19:41:30;42;24;45
'2013-09-09 19:41:48;42;24;49
'2013-09-09 19:41:58;41;23;49
'2013-09-09 19:42:08;42;24;50
'2013-09-09 19:43:37;44;24;39
'2013-09-09 19:43:47;42;23;42
'2013-09-09 19:43:57;43;24;45
'2013-09-09 19:44:07;42;24;43
'2013-09-09 19:44:17;42;24;42
'2013-09-09 19:44:27;42;23;43
'2013-09-09 19:44:37;42;23;42
'2013-09-09 19:44:47;42;24;41
'2013-09-09 19:44:57;43;24;43
'2013-09-09 19:45:07;43;24;43
'2013-09-09 19:45:17;42;24;46
'2013-09-09 19:45:27;42;23;45
'2013-09-09 19:45:37;42;23;43
'2013-09-09 19:45:47;42;23;43
'2013-09-09 19:45:57;42;23;42
'2013-09-09 19:46:07;42;23;42
'2013-09-09 19:46:17;41;23;43
'2013-09-09 19:46:27;42;23;39
'2013-09-09 19:46:37;42;24;40
'2013-09-09 19:46:47;42;23;39
'2013-09-09 19:46:57;42;23;40
'2013-09-09 19:47:07;42;23;38
'2013-09-09 19:47:22;42;24;41
'2013-09-09 19:47:32;42;23;39
'2013-09-09 19:47:42;42;23;37
'2013-09-09 19:47:52;42;23;38
'2013-09-09 19:48:02;42;23;36
'2013-09-09 19:48:12;42;23;37
'2013-09-09 19:48:22;42;23;37
'2013-09-09 19:48:32;42;23;37
'2013-09-09 19:48:42;42;23;36
'2013-09-09 19:48:52;42;23;37
'2013-09-09 19:49:02;42;23;40
'2013-09-09 19:49:12;41;23;42
'2013-09-09 22:24:16;41;23;34
